"Order";"Level";"Code";"Parent";"Description";"This_item_includes";"This_item_also_includes";"Rulings";"This_item_excludes";"Reference_to_ISIC_Rev._4"
398585;4;"10.52";"10.5";"Manufacture of ice cream";"This class includes:
- manufacture of ice cream and other edible ice such as sorbet";"";"";"This class excludes:
- activities of ice cream parlours, see 56.10";"1050"
398586;3;"10.6";"10";"Manufacture of grain mill products, starches and starch products";"This group includes the milling of flour or meal from grains or vegetables, the milling, cleaning and polishing of rice, as well as the manufacture of flour mixes or doughs from these products.";"Also included in this group are the wet milling of corn and vegetables and the manufacture of starch and starch products.";"";"";"106"
398587;4;"10.61";"10.6";"Manufacture of grain mill products";"This class includes:
- grain milling: production of flour, groats, meal or pellets of wheat, rye, oats, maize (corn) or other cereal grains
- rice milling: production of husked, milled, polished, glazed, parboiled or converted rice; production of rice flour
- vegetable milling: production of flour or meal of dried leguminous vegetables, of roots or tubers, or of edible nuts
- manufacture of cereal breakfast foods
- manufacture of flour mixes and prepared blended flour and dough for bread, cakes, biscuits or pancakes";"";"";"This class excludes:
- manufacture of potato flour and meal, see 10.31
- wet corn milling, see 10.62";"1061"
398588;4;"10.62";"10.6";"Manufacture of starches and starch products";"This class includes:
- manufacture of starches from rice, potatoes, maize etc.
- wet corn milling
- manufacture of glucose, glucose syrup, maltose, inulin etc.
- manufacture of gluten
- manufacture of tapioca and tapioca substitutes prepared from starch
- manufacture of corn oil";"";"";"This class excludes:
- manufacture of lactose (milk sugar), see 10.51
- production of cane or beet sugar, see 10.81";"1062"
398589;3;"10.7";"10";"Manufacture of bakery and farinaceous products";"This group includes the production of bakery products, macaroni, noodles and similar products.";"";"";"";"107"
398590;4;"10.71";"10.7";"Manufacture of bread; manufacture of fresh pastry goods and cakes";"This class includes:
- manufacture of bakery products:
  . bread and rolls
  . pastry, cakes, pies, tarts, pancakes, waffles, rolls etc.";"";"";"This class excludes:
- manufacture of dry bakery products, see 10.72
- manufacture of pastas, see 10.73
- heating up of bakery items for immediate consumption, see division 56";"1071"
398591;4;"10.72";"10.7";"Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes";"This class includes:
- manufacture of rusks, biscuits and other dry bakery products
- manufacture of preserved pastry goods and cakes
- manufacture of snack products (cookies, crackers, pretzels etc.), whether sweet or salted";"";"";"This class excludes:
- manufacture of potato snacks, see 10.31";"1071"
398592;4;"10.73";"10.7";"Manufacture of macaroni, noodles, couscous and similar farinaceous products";"This class includes:
- manufacture of pastas such as macaroni and noodles, whether or not cooked or stuffed
- manufacture of couscous
- manufacture of canned or frozen pasta products";"";"";"This class excludes:
- manufacture of prepared couscous dishes, see 10.85
- manufacture of soup containing pasta, see 10.89";"1074"
398593;3;"10.8";"10";"Manufacture of other food products";"This group includes the production of sugar and confectionery, prepared meals and dishes, coffee, tea and spices, as well as perishable and specialty food products.";"";"";"";"107"
398594;4;"10.81";"10.8";"Manufacture of sugar";"This class includes:
- manufacture or refining of sugar (sucrose) and sugar substitutes from the juice of cane, beet, maple and palm
- manufacture of sugar syrups
- manufacture of molasses
- production of maple syrup and sugar";"";"";"This class excludes:
- manufacture of glucose, glucose syrup, maltose, see 10.62";"1072"
398595;4;"10.82";"10.8";"Manufacture of cocoa, chocolate and sugar confectionery";"This class includes:
- manufacture of cocoa, cocoa butter, cocoa fat, cocoa oil
- manufacture of chocolate and chocolate confectionery
- manufacture of sugar confectionery: caramels, cachous, nougats, fondant, white chocolate
- manufacture of chewing gum
- preserving in sugar of fruit, nuts, fruit peels and other parts of plants
- manufacture of confectionery lozenges and pastilles";"";"";"This class excludes:
- manufacture of sucrose sugar, see 10.81";"1073"
398596;4;"10.83";"10.8";"Processing of tea and coffee";"This class includes:
- decaffeinating and roasting of coffee
- production of coffee products:
  . ground coffee
  . soluble coffee
  . extracts and concentrates of coffee
- manufacture of coffee substitutes
- blending of tea and maté
- manufacture of extracts and preparations based on tea or maté
- packing of tea including packing in tea-bags";"This class also includes:
- manufacture of herb infusions (mint, vervain, chamomile etc.)";"- Production (filling) of tea-bags and coffee pads";"This class excludes:
- manufacture of inulin, see 10.62
- manufacture of spirits, beer, wine and soft drinks, see division 11
- preparation of botanical products for pharmaceutical use, see 21.20";"1079"
398597;4;"10.84";"10.8";"Manufacture of condiments and seasonings";"This class includes:
- manufacture of spices, sauces and condiments:
  . mayonnaise
  . mustard flour and meal
  . prepared mustard etc.
- manufacture of vinegar";"This class also includes:
- processing of salt into food-grade salt, e.g. iodised salt";"- Drying of herbs and spices, using industrial methods, where herbs and spices are lyophilised, frozen and dried in this condition";"This class excludes:
- growing of spice crops, see 01.28";"1079"
398598;4;"10.85";"10.8";"Manufacture of prepared meals and dishes";"This class includes the manufacture of ready-made (i.e. prepared, seasoned and cooked) meals and dishes. These dishes are processed to preserve them, such as in frozen or canned form, and are usually packaged and labelled for re-sale, i.e. this class does not include the preparation of meals for immediate consumption, such as in restaurants. To be considered a dish, these foods have to contain at least two distinct ingredients (except seasonings etc.).

This class includes:
- manufacture of meat or poultry dishes
- manufacture of fish dishes, including fish and chips
- manufacture of vegetable dishes
- manufacture of frozen or otherwise preserved pizza";"This class also includes:
- manufacture of local and national dishes";"";"This class excludes:
- manufacture of fresh foods or foods with less than two ingredients, see corresponding class in division 10
- manufacture of perishable prepared foods, see 10.89
- retail sale of prepared meals and dishes in stores, see 47.11, 47.29
- wholesale of prepared meals and dishes, see 46.38
- activities of food service contractors, see 56.29";"1075"
398599;4;"10.86";"10.8";"Manufacture of homogenised food preparations and dietetic food";"This class includes:
- manufacture of foods for particular nutritional uses:
  . infant formulae
  . follow-up milk and other follow-up foods
  . baby foods
  . low-energy and energy-reduced foods intended for weight control
  . dietary foods for special medical purposes
  . low-sodium foods, including low-sodium or sodium-free dietary salts
  . gluten-free foods
  . foods intended to meet the expenditure of intense muscular effort, especially for sportsmen
  . foods for persons suffering from carbohydrate metabolism disorders (diabetes)";"";"- Preparation of enteral nutrition
- Grain processing activities";"";"1079"
398600;4;"10.89";"10.8";"Manufacture of other food products n.e.c.";"This class includes:
- manufacture of soups and broths
- manufacture of artificial honey and caramel
- manufacture of perishable prepared foods, such as:
  . sandwiches
  . fresh (uncooked) pizza
- manufacture of food supplements and other food products n.e.c.";"This class also includes:
- manufacture of yeast
- manufacture of extracts and juices of meat, fish, crustaceans or molluscs
- manufacture of non-dairy milk and cheese substitutes
- manufacture of egg products, egg albumin
- manufacture of artificial concentrates";"- Processing (de-crystallisation and filtering) of purchased natural honey";"This class excludes:
- manufacture of perishable prepared foods of fruit and vegetables, see 10.39
- manufacture of frozen pizza, see 10.85
- manufacture of spirits, beer, wine and soft drinks, see division 11";"1079"
398601;3;"10.9";"10";"Manufacture of prepared animal feeds";"";"";"";"";"108"
398602;4;"10.91";"10.9";"Manufacture of prepared feeds for farm animals";"This class includes:
- manufacture of prepared feeds for farm animals, including concentrated animal feed and feed supplements
- preparation of unmixed (single) feeds for farm animals";"This class also includes:
- treatment of slaughter waste to produce animal feeds";"";"This class excludes:
- production of fishmeal for animal feed, see 10.20
- production of oilseed cake, see 10.41
- activities resulting in by-products usable as animal feed without special treatment, e.g. oilseeds (see 10.41), grain milling residues (see 10.61) etc.";"1080"
398603;4;"10.92";"10.9";"Manufacture of prepared pet foods";"This class includes:
- manufacture of prepared feeds for pets, including dogs, cats, birds, fish etc.";"This class also includes:
- treatment of slaughter waste to produce animal feeds";"";"This class excludes:
- production of fishmeal for animal feed, see 10.20
- production of oilseed cake, see 10.41
- activities resulting in by-products usable as animal feed without special treatment, e.g. oilseeds (see 10.41), grain milling residues (see 10.61) etc.";"1080"
398604;2;"11";"C";"Manufacture of beverages";"This division includes the manufacture of beverages, such as non-alcoholic beverages and mineral water, manufacture of alcoholic beverages mainly through fermentation, beer and wine, and the manufacture of distilled alcoholic beverages.";"";"";"This division excludes:
- production of fruit and vegetable juices, see 10.32
- manufacture of milk-based drinks, see 10.51
- manufacture of coffee, tea and mate products, see 10.83";"11"
398605;3;"11.0";"11";"Manufacture of beverages";"";"";"";"";"110"
398606;4;"11.01";"11.0";"Distilling, rectifying and blending of spirits";"This class includes:
- manufacture of distilled, potable, alcoholic beverages: whisky, brandy, gin, liqueurs etc. 
- manufacture of drinks mixed with distilled alcoholic beverages
- blending of distilled spirits
- production of neutral spirits";"";"";"This class excludes:
- manufacture of non-distilled alcoholic beverages, see 11.02-11.06
- manufacture of synthetic ethyl alcohol, see 20.14
- manufacture of ethyl alcohol from fermented materials, see 20.14
- merely bottling and labelling, see 46.34 (if performed as part of wholesale) and 82.92 (if performed on a fee or contract basis)";"1101"
398607;4;"11.02";"11.0";"Manufacture of wine from grape";"This class includes:
- manufacture of wine
- manufacture of sparkling wine
- manufacture of wine from concentrated grape must";"This class also includes:
- blending, purification and bottling of wine
- manufacture of low or non-alcoholic wine";"";"This class excludes:
- merely bottling and labelling, see 46.34 (if performed as part of wholesale) and 82.92 (if performed on a fee or contract basis)";"1102"
398608;4;"11.03";"11.0";"Manufacture of cider and other fruit wines";"This class includes:
- manufacture of fermented but not distilled alcoholic beverages: sake, cider, perry and other fruit wines";"This class also includes:
- manufacture of mead and mixed beverages containing fruit wines";"";"This class excludes:
- merely bottling and labelling, see 46.34 (if performed as part of wholesale) and 82.92 (if performed on a fee or contract basis)";"1102"
398609;4;"11.04";"11.0";"Manufacture of other non-distilled fermented beverages";"This class includes:
- manufacture of vermouth and the like";"";"";"This class excludes:
- merely bottling and labelling, see 46.34 (if performed as part of wholesale) and 82.92 (if performed on a fee or contract basis)";"1102"
398610;4;"11.05";"11.0";"Manufacture of beer";"This class includes:
- manufacture of malt liquors, such as beer, ale, porter and stout";"This class also includes:
- manufacture of low alcohol or non-alcoholic beer";"";"";"1103"
398611;4;"11.06";"11.0";"Manufacture of malt";"";"";"";"";"1103"
398612;4;"11.07";"11.0";"Manufacture of soft drinks; production of mineral waters and other bottled waters";"This class includes manufacture of non-alcoholic beverages (except non-alcoholic beer and wine):
- production of natural mineral waters and other bottled waters
- manufacture of soft drinks:
  . non-alcoholic flavoured and/or sweetened waters: lemonade, orangeade, cola, fruit drinks, tonic waters etc.";"";"";"This class excludes:
- production of fruit and vegetable juice, see 10.32
- manufacture of milk-based drinks, see 10.51
- manufacture of coffee, tea and maté products, see 10.83
- manufacture of alcohol-based drinks, see 11.01, 11.02, 11.03, 11.04, 11.05
- manufacture of non-alcoholic wine, see 11.02
- manufacture of non-alcoholic beer, see 11.05
- manufacture of ice, see 35.30
- merely bottling and labelling, see 46.34 (if performed as part of wholesale) and 82.92 (if performed on a fee or contract basis)";"1104"
398613;2;"12";"C";"Manufacture of tobacco products";"This division includes the processing of an agricultural product, tobacco, into a form suitable for final consumption.";"";"";"";"12"
398614;3;"12.0";"12";"Manufacture of tobacco products";"";"";"";"";"120"
398615;4;"12.00";"12.0";"Manufacture of tobacco products";"This class includes:
- manufacture of tobacco products and products of tobacco substitutes: cigarettes, fine cut tobacco, cigars, pipe tobacco, chewing tobacco, snuff
- manufacture of ""homogenised"" or ""reconstituted"" tobacco";"This class also includes:
- stemming and redrying of tobacco";"";"This class excludes:
- growing or preliminary processing of tobacco, see 01.15, 01.63";"1200"
398616;2;"13";"C";"Manufacture of textiles";"This division includes preparation and spinning of textile fibres as well as textile weaving, finishing of textiles and wearing apparel, manufacture of made-up textile articles, except apparel (e.g. household linen, blankets, rugs, cordage etc.). Growing of natural fibres is covered under division 01, while manufacture of synthetic fibres is a chemical process classified in class 20.60. Manufacture of wearing apparel is covered in division 14.";"";"";"";"13"
398617;3;"13.1";"13";"Preparation and spinning of textile fibres";"";"";"";"";"131"
398618;4;"13.10";"13.1";"Preparation and spinning of textile fibres";"This class includes preparatory operations on textile fibres and the spinning of textile fibres. This can be done from varying raw materials, such as silk, wool, other animal, vegetable or man-made fibres, paper or glass etc.

This class includes:
- preparatory operations on textile fibres:
  . reeling and washing of silk
  . degreasing and carbonising of wool and dyeing of wool fleece
  . carding and combing of all kinds of animal, vegetable and man-made fibres
- spinning and manufacture of yarn or thread for weaving or sewing, for the trade or for further processing
  . scutching of flax
  . texturising, twisting, folding, cabling and dipping of synthetic or artificial filament yarns";"This class also includes:
- manufacture of paper yarn";"";"This class excludes:
- preparatory operations carried out in combination with agriculture, see division 01
- retting of plants bearing vegetable textile fibres (jute, flax, coir etc.), see 01.16
- cotton ginning, see 01.63
- manufacture of synthetic or artificial fibres and tows, manufacture of single yarns (including high-tenacity yarn and yarn for carpets) of synthetic or artificial fibres, see 20.60
- manufacture of glass fibres, see 23.14";"1311"
398619;3;"13.2";"13";"Weaving of textiles";"";"";"";"";"131"
398620;4;"13.20";"13.2";"Weaving of textiles";"This class includes weaving of textiles. This can be done from varying raw materials, such as silk, wool, other animal, vegetable or man-made fibres, paper or glass etc.

This class includes:
- manufacture of broad woven cotton-type, woollen-type, worsted-type or silk-type fabrics, including from mixtures or artificial or synthetic yarns (polypropylene etc.)
- manufacture of other broad woven fabrics, using flax, ramie, hemp, jute, bast fibres and special yarns";"This class also includes:
- manufacture of woven pile or chenille fabrics, terry towelling, gauze etc.
- manufacture of woven fabrics of glass fibres
- manufacture of woven carbon and aramid threads
- manufacture of imitation fur by weaving";"";"This class excludes:
- manufacture of knitted and crocheted fabrics, see 13.91
- manufacture of textile floor coverings, see 13.93
- manufacture of non-woven fabrics, see 13.95
- manufacture of narrow fabrics, see 13.96
- manufacture of felts, see 13.99";"1312"
398621;3;"13.3";"13";"Finishing of textiles";"";"";"";"";"131"
398622;4;"13.30";"13.3";"Finishing of textiles";"This class includes finishing of textiles and wearing apparel, i.e. bleaching, dyeing, dressing and similar activities.

This class includes:
- bleaching and dyeing of textile fibres, yarns, fabrics and textile articles, including wearing apparel
- dressing, drying, steaming, shrinking, mending, sanforising, mercerising of textiles and textile articles, including wearing apparel";"This class also includes:
- bleaching of jeans
- pleating and similar work on textiles
- waterproofing, coating, rubberising, or impregnating purchased garments";"";"This class excludes:
- manufacture of textile fabric impregnated, coated, covered or laminated with rubber, where rubber is the chief constituent, see 22.19";"1313"
398623;3;"13.9";"13";"Manufacture of other textiles";"This group includes the manufacture of products produced from textiles, except wearing apparel, such as made-up textile articles, carpets and rugs, rope, narrow woven fabrics, trimmings etc.";"";"";"";"139"
398624;4;"13.91";"13.9";"Manufacture of knitted and crocheted fabrics";"This class includes:
- manufacture and processing of knitted or crocheted fabrics:
  . pile and terry fabrics
  . net and window furnishing type fabrics knitted on Raschel or similar machines
  . other knitted or crocheted fabrics";"This class also includes:
- manufacture of imitation fur by knitting";"";"This class excludes:
- manufacture of net and window furnishing type fabrics of lace knitted on Raschel or similar machines, see 13.99
- manufacture of knitted and crocheted apparel, see 14.39";"1391"
398625;4;"13.92";"13.9";"Manufacture of made-up textile articles, except apparel";"This class includes:
- manufacture, of made-up articles of any textile material, including of knitted or crocheted fabrics:
  . blankets, including travelling rugs
  . bed, table, toilet or kitchen linen
  . quilts, eiderdowns, cushions, pouffes, pillows, sleeping bags etc.
- manufacture of made-up furnishing articles:
  . curtains, valances, blinds, bedspreads, furniture or machine covers etc.
  . tarpaulins, tents, camping goods, sails, sunblinds, loose covers for cars, machines or furniture etc.
  . flags, banners, pennants etc.
  . dust cloths, dishcloths and similar articles, life jackets, parachutes etc.";"This class also includes:
- manufacture of the textile part of electric blankets
- manufacture of hand-woven tapestries";"";"This class excludes:
- manufacture of textile articles for technical use, see 13.96";"1392"
398626;4;"13.93";"13.9";"Manufacture of carpets and rugs";"This class includes:
- manufacture of textile floor coverings:
  . carpets, rugs and mats, tiles";"This class also includes:
- manufacture of needle-loom felt floor coverings";"";"This class excludes:
- manufacture of mats and matting of plaiting materials, see 16.29
- manufacture of floor coverings of cork, see 16.29
- manufacture of resilient floor coverings, such as vinyl, linoleum, see 22.23";"1393"
398627;4;"13.94";"13.9";"Manufacture of cordage, rope, twine and netting";"This class includes:
- manufacture of twine, cordage, rope and cables of textile fibres or strip or the like, whether or not impregnated, coated, covered or sheathed with rubber or plastics
- manufacture of knotted netting of twine, cordage or rope
- manufacture of products of rope or netting: fishing nets, ships' fenders, unloading cushions, loading slings, rope or cable fitted with metal rings etc.";"";"";"This class excludes:
- manufacture of hairnets, see 14.19
- manufacture of wire rope, see 25.93
- manufacture of landing nets for sports fishing, see 32.30";"1394"
398628;4;"13.95";"13.9";"Manufacture of non-wovens and articles made from non-wovens, except apparel";"This class includes all activities related to the manufacture of textiles or textile products, not specified elsewhere in division 13 or 14, involving a large number of processes and a great variety of goods produced.";"";"";"";"1399"
398629;4;"13.96";"13.9";"Manufacture of other technical and industrial textiles";"This class includes:
- manufacture of narrow woven fabrics, including fabrics consisting of warp without weft assembled by means of an adhesive
- manufacture of labels, badges etc.
- manufacture of ornamental trimmings: braids, tassels, pompons etc.
- manufacture of fabrics impregnated, coated, covered or laminated with plastics
- manufacture of metallised yarn or metallised gimped yarn, rubber thread and cord covered with textile material, textile yarn or strip covered, impregnated, coated or sheathed with rubber or plastics
- manufacture of tyre cord fabric of high-tenacity man-made yarn
- manufacture of other treated or coated fabrics: buckram and similar stiffened textile fabrics, fabrics coated with gum or amylaceous substances
- manufacture of diverse textile articles: textile wicks, incandescent gas mantles and tubular gas
- manufacture of mantle fabric, hosepiping, transmission or conveyor belts or belting (whether or not reinforced with metal or other material), bolting cloth, straining cloth
- manufacture of automotive trimmings
- manufacture of artists' canvas boards and tracing cloth";"";"";"This class excludes:
- manufacture of transmission or conveyor belts of textile fabric, yarn or cord impregnated, coated, covered or laminated with rubber, where rubber is the chief constituent, see 22.19
- manufacture of plates or sheets of cellular rubber or plastic combined with textiles for reinforcing purposes only, see 22.19, 22.21
- manufacture of cloth of woven metal wire, see 25.93";"1399"
398630;4;"13.99";"13.9";"Manufacture of other textiles n.e.c.";"This class includes:
- manufacture of felt
- manufacture of tulles and other net fabrics, and of lace and embroidery, in the piece, in strips or in motifs
- manufacture of pressure sensitive cloth-tape
- manufacture of shoe-lace, of textiles
- manufacture of powder puffs and mitts";"";"";"This class excludes:
- manufacture of needle-loom felt floor coverings, see 13.93
- manufacture of textile wadding and articles of wadding: sanitary towels, tampons etc., see 17.22";"1399"
398631;2;"14";"C";"Manufacture of wearing apparel";"This division includes all tailoring (ready-to-wear or made-to-measure), in all materials (e.g. leather, fabric, knitted and crocheted fabrics etc.), of all items of clothing (e.g. outerwear, underwear for men, women or children; work, city or casual clothing etc.) and accessories. There is no distinction made between clothing for adults and clothing for children, or between modern and traditional clothing.";"Division 14 also includes the fur industry (fur skins and wearing apparel).";"";"";"14"
398632;3;"14.1";"14";"Manufacture of wearing apparel, except fur apparel";"This group includes manufacture of wearing apparel. The material used may be of any kind and may be coated, impregnated or rubberised.";"";"";"";"141"
398633;4;"14.11";"14.1";"Manufacture of leather clothes";"This class includes:
- manufacture of wearing apparel made of leather or composition leather including leather industrial work accessories as welder's leather aprons";"";"";"This class excludes:
- manufacture of fur wearing apparel, see 14.20
- manufacture of leather sports gloves and sports headgear, see 32.30
- manufacture of fire resistant and protective safety clothing, see 32.99";"1410"
398634;4;"14.12";"14.1";"Manufacture of workwear";"";"";"";"This class excludes:
- manufacture of footwear, see 15.20
- manufacture of fire resistant and protective safety clothing, see 32.99
- repair of wearing apparel, see 95.29";"1410"
398635;4;"14.13";"14.1";"Manufacture of other outerwear";"This class includes:
- manufacture of other outerwear made of woven, knitted or crocheted fabric, non-wovens etc. for men, women and children:
  . coats, suits, ensembles, jackets, trousers, skirts etc.";"This class also includes:
- custom tailoring
- manufacture of parts of the products listed";"";"This class excludes:
- manufacture of wearing apparel of fur skins (except headgear), see 14.20
- manufacture of wearing apparel of rubber or plastics not assembled by stitching but merely sealed together, see 22.19, 22.29
- manufacture of fire resistant and protective safety clothing, see 32.99
- repair of wearing apparel, see 95.29";"1410"
398636;4;"14.14";"14.1";"Manufacture of underwear";"This class includes:
- manufacture of underwear and nightwear made of woven, knitted or crocheted fabric, lace etc. for men, women and children:
  . shirts, T-shirts, underpants, briefs, pyjamas, nightdresses, dressing gowns, blouses, slips, brassieres, corsets etc.";"";"";"This class excludes:
- repair of wearing apparel, see 95.29";"1410"
398637;4;"14.19";"14.1";"Manufacture of other wearing apparel and accessories";"This class includes:
- manufacture of babies' garments, tracksuits, ski suits, swimwear etc.
- manufacture of hats and caps
- manufacture of other clothing accessories: gloves, belts, shawls, ties, cravats, hairnets etc.";"This class also includes:
- manufacture of headgear of fur skins
- manufacture of footwear of textile material without applied soles
- manufacture of parts of the products listed";"";"This class excludes:
- manufacture of sports headgear, see 32.30
- manufacture of safety headgear (except sports headgear), see 32.99
- manufacture of fire resistant and protective safety clothing, see 32.99
- repair of wearing apparel, see 95.29";"1410"
398638;3;"14.2";"14";"Manufacture of articles of fur";"";"";"";"";"142"
398639;4;"14.20";"14.2";"Manufacture of articles of fur";"This class includes:
- manufacture of articles made of fur skins:
  . fur wearing apparel and clothing accessories
  . assemblies of fur skins such as ""dropped"" fur skins, plates, mats, strips etc.
  . diverse articles of fur skins: rugs, unstuffed pouffes, industrial polishing cloths";"";"";"This class excludes:
- production of raw fur skins, see 01.4, 01.70
- production of raw hides and skins, see 10.11
- manufacture of imitation furs (long-hair cloth obtained by weaving or knitting), see 13.20, 13.91
- manufacture of fur hats, see 14.19
- manufacture of apparel trimmed with fur, see 14.19
- dressing and dyeing of fur, see 15.11
- manufacture of boots or shoes containing fur parts, see 15.20";"1420"
398640;3;"14.3";"14";"Manufacture of knitted and crocheted apparel";"";"";"";"";"143"
398641;4;"14.31";"14.3";"Manufacture of knitted and crocheted hosiery";"This class includes:
- manufacture of hosiery, including socks, tights and pantyhose";"";"";"";"1430"
398642;4;"14.39";"14.3";"Manufacture of other knitted and crocheted apparel";"This class includes:
- manufacture of knitted or crocheted wearing apparel and other made-up articles directly into shape: pullovers, cardigans, jerseys, waistcoats and similar articles";"";"";"This class excludes:
- manufacture of knitted and crocheted fabrics, see 13.91
- manufacture of hosiery, see 14.31";"1430"
398643;2;"15";"C";"Manufacture of leather and related products";"This division includes dressing and dyeing of fur and the transformation of hides into leather by tanning or curing and fabricating the leather into products for final consumption.";"It also includes the manufacture of similar products from other materials (imitation leathers or leather substitutes), such as rubber footwear, textile luggage etc. The products made from leather substitutes are included here, since they are made in ways similar to those in which leather products are made (e.g. luggage) and are often produced in the same unit.";"";"";"15"
398644;3;"15.1";"15";"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur";"This group includes the manufacture of leather and fur and products thereof.";"";"";"";"151"
398645;4;"15.11";"15.1";"Tanning and dressing of leather; dressing and dyeing of fur";"This class includes:
- tanning, dyeing and dressing of hides and skins
- manufacture of chamois dressed, parchment dressed, patent or metallised leathers
- manufacture of composition leather
- scraping, shearing, plucking, currying, tanning, bleaching and dyeing of fur skins and hides with the hair on";"";"";"This class excludes:
- production of hides and skins as part of ranching, see 01.4
- production of hides and skins as part of slaughtering, see 10.11
- manufacture of leather apparel, see 14.11
- manufacture of imitation leather not based on natural leather, see 22.19, 22.29";"1511"
398646;4;"15.12";"15.1";"Manufacture of luggage, handbags and the like, saddlery and harness";"This class includes:
- manufacture of luggage, handbags and the like, of leather, composition leather or any other material, such as plastic sheeting, textile materials, vulcanised fibre or paperboard, where the same technology is used as for leather
- manufacture of saddlery and harness
- manufacture of non-metallic watch bands (e.g. fabric, leather, plastic)
- manufacture of diverse articles of leather or composition leather: driving belts, packings etc.
- manufacture of shoe-lace, of leather
- manufacture of horse whips and riding crops";"";"";"This class excludes:
- manufacture of leather wearing apparel, see 14.11
- manufacture of leather gloves and hats, see 14.19
- manufacture of footwear, see 15.20
- manufacture of saddles for bicycles, see 30.92
- manufacture of precious metal watch bands, see 32.12
- manufacture of non-precious metal watch bands, see 32.13
- manufacture of linemen's safety belts and other belts for occupational use, see 32.99";"1512"
398647;3;"15.2";"15";"Manufacture of footwear";"";"";"";"";"152"
398648;4;"15.20";"15.2";"Manufacture of footwear";"This class includes:
- manufacture of footwear for all purposes, of any material, by any process, including moulding (see below for exceptions)
- manufacture of leather parts of footwear: manufacture of uppers and parts of uppers, outer and inner soles, heels etc.
- manufacture of gaiters, leggings and similar articles";"";"";"This class excludes:
- manufacture of footwear of textile material without applied soles, see 14.19
- manufacture of wooden shoe parts (e.g. heels and lasts), see 16.29
- manufacture of rubber boot and shoe heels and soles and other rubber footwear parts, see 22.19
- manufacture of plastic footwear parts, see 22.29
- manufacture of ski-boots, see 32.30
- manufacture of orthopaedic shoes, see 32.50";"1520"
398649;2;"16";"C";"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";"This division includes the manufacture of wood products, such as lumber, plywood, veneers, wood containers, wood flooring, wood trusses, and prefabricated wood buildings. The production processes include sawing, planing, shaping, laminating, and assembling of wood products starting from logs that are cut into bolts, or lumber that may then be cut further, or shaped by lathes or other shaping tools. The lumber or other transformed wood shapes may also be subsequently planed or smoothed, and assembled into finished products, such as wood containers.

With the exception of sawmilling, this division is subdivided mainly based on the specific products manufactured.";"";"";"This division does not include the manufacture of furniture (31.0), or the installation of wooden fittings and the like (43.32, 43.33, 43.39).";"16"
398650;3;"16.1";"16";"Sawmilling and planing of wood";"";"";"";"";"161"
398651;4;"16.10";"16.1";"Sawmilling and planing of wood";"This class includes:
- sawing, planing and machining of wood
- slicing, peeling or chipping logs
- manufacture of wooden railway sleepers
- manufacture of unassembled wooden flooring
- manufacture of wood wool, wood flour, chips, particles";"This class also includes:
- drying of wood
- impregnation or chemical treatment of wood with preservatives or other materials";"";"This class excludes:
- logging and production of wood in the rough, see 02.20
- manufacture of veneer sheets thin enough for use in plywood, boards and panels, see 16.21
- manufacture of shingles and shakes, beadings and mouldings, see 16.23
- manufacture of fire logs or pressed wood, see 16.29";"1610"
398652;3;"16.2";"16";"Manufacture of products of wood, cork, straw and plaiting materials";"This group includes the manufacture of products of wood, cork, straw or plaiting materials, including basic shapes as well as assembled products.";"";"";"";"162"
398653;4;"16.21";"16.2";"Manufacture of veneer sheets and wood-based panels";"This class includes:
- manufacture of veneer sheets thin enough to be used for veneering, making plywood or other purposes:
  . smoothed, dyed, coated, impregnated, reinforced (with paper or fabric backing)
  . made in the form of motifs
- manufacture of plywood, veneer panels and similar laminated wood boards and sheets
- manufacture of oriented strand board (OSB) and other particle board
- manufacture of medium density fibreboard (MDF) and other fibreboard 
- manufacture of densified wood
- manufacture of glue laminated wood, laminated veneer wood";"";"";"";"1621"
398654;4;"16.22";"16.2";"Manufacture of assembled parquet floors";"This class includes:
- manufacture of wooden parquet floor blocks, strips etc., assembled into panels";"";"";"This class excludes:
- manufacture of unassembled wooden floors, see 16.10";"1622"
398655;4;"16.23";"16.2";"Manufacture of other builders' carpentry and joinery";"This class includes:
- manufacture of wooden goods intended to be used primarily in the construction industry:
  . beams, rafters, roof struts
  . glue-laminated and metal connected, prefabricated wooden roof trusses
  . doors, windows, shutters and their frames, whether or not containing metal fittings, such as hinges, locks etc.
  . stairs, railings
  . wooden beadings and mouldings, shingles and shakes
- manufacture of prefabricated buildings, or elements thereof, predominantly of wood, e.g. saunas
- manufacture of mobile homes
- manufacture of wood partitions (except free standing)";"";"";"This class excludes:
- manufacture of kitchen cabinets, bookcases, wardrobes etc., see 31.01, 31.02, 31.09
- manufacture of wood partitions, free standing, see 31.01, 31.02, 31.09";"1622"
398656;4;"16.24";"16.2";"Manufacture of wooden containers";"This class includes:
- manufacture of packing cases, boxes, crates, drums and similar packings of wood
- manufacture of pallets, box pallets and other load boards of wood
- manufacture of barrels, vats, tubs and other coopers' products of wood
- manufacture of wooden cable-drums";"";"";"This class excludes:
- manufacture of luggage, see 15.12
- manufacture of cases of plaiting material, see 16.29";"1623"
